Vardas        Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas1       Pavarde1          0         5         4         3         2         2         0         1         4         9         4
Vardas2       Pavarde2          0         6         9         6         10        2         0         0         10        2         1
Vardas3       Pavarde3          9         2         1         6         4         0         7         1         3         6         0
Vardas4       Pavarde4          3         6         9         10        1         7         8         4         6         2         9
Vardas5       Pavarde5          1         6         4         2         0         9         9         4         7         8         4
Vardas6       Pavarde6          2         8         2         2         5         2         9         2         5         6         5
Vardas7       Pavarde7          6         6         0         5         6         7         5         7         6         6         6
Vardas8       Pavarde8          7         2         1         8         10        2         9         6         7         0         3
Vardas9       Pavarde9          6         7         7         1         9         1         9         10        6         2         0
Vardas10      Pavarde10         8         6         6         10        5         1         1         3         2         5         9
Vardas11      Pavarde11         5         9         10        0         6         1         3         10        3         1         9
Vardas12      Pavarde12         2         4         1         10        8         6         9         10        6         5         3
Vardas13      Pavarde13         0         9         1         7         10        7         10        10        9         2         3
Vardas14      Pavarde14         2         3         9         0         4         3         10        2         10        4         4
Vardas15      Pavarde15         5         6         3         8         6         1         8         3         9         8         6
Vardas16      Pavarde16         4         3         1         8         8         4         9         4         6         9         0
Vardas17      Pavarde17         0         2         8         9         3         9         5         1         5         4         10
Vardas18      Pavarde18         7         1         1         0         8         1         4         4         3         8         8
Vardas19      Pavarde19         1         1         10        6         9         8         4         10        1         1         10
Vardas20      Pavarde20         6         9         4         8         7         2         3         0         0         8         8
Vardas21      Pavarde21         6         3         3         0         2         5         1         0         2         5         5
Vardas22      Pavarde22         8         8         6         3         2         8         2         5         1         6         4
Vardas23      Pavarde23         8         9         10        3         3         8         6         3         10        8         10
Vardas24      Pavarde24         7         6         7         5         3         7         9         2         10        3         1
Vardas25      Pavarde25         10        8         1         7         5         1         7         4         10        10        3
Vardas26      Pavarde26         9         0         9         0         3         5         9         5         1         10        7
Vardas27      Pavarde27         7         2         8         5         9         10        3         8         7         5         10
Vardas28      Pavarde28         7         2         0         2         6         2         9         5         6         0         4
Vardas29      Pavarde29         7         4         6         6         9         1         3         3         5         7         5
Vardas30      Pavarde30         0         5         0         2         9         9         8         6         9         6         7
Vardas31      Pavarde31         7         4         6         10        4         3         8         6         2         3         5
Vardas32      Pavarde32         1         8         5         10        8         3         6         1         6         2         8
Vardas33      Pavarde33         6         7         2         6         6         4         1         2         7         8         3
Vardas34      Pavarde34         3         3         5         10        8         6         1         8         8         5         2
Vardas35      Pavarde35         0         6         3         7         6         10        2         2         2         1         7
Vardas36      Pavarde36         1         3         4         1         2         8         0         0         8         5         6
Vardas37      Pavarde37         5         0         6         7         7         7         5         5         10        2         4
Vardas38      Pavarde38         7         7         10        9         7         0         3         6         0         0         3
Vardas39      Pavarde39         6         7         9         2         4         9         5         9         2         2         8
Vardas40      Pavarde40         8         2         3         9         9         6         1         9         7         2         3
Vardas41      Pavarde41         10        4         1         0         4         2         8         6         3         1         7
Vardas42      Pavarde42         7         3         2         5         3         0         7         3         8         5         5
Vardas43      Pavarde43         6         10        9         6         9         10        10        0         9         7         4
Vardas44      Pavarde44         5         8         10        7         2         6         6         7         5         1         3
Vardas45      Pavarde45         9         3         5         8         9         8         7         7         7         0         9
